review,sentiment,aspects
"Absolutely love it, works perfectly.",positive,
Arrived late but product is good.,positive,
Terrible customer service.,positive,
"Excellent product, highly recommend!",positive,
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",positive,
Quality could be better.,positive,
Quality could be better.,positive,
Terrible customer service.,positive,
Terrible customer service.,positive,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",positive,
Battery life is too short.,negative,battery: negative
Quality could be better.,positive,
Amazing features and easy to use.,positive,
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",positive,
Doesn't match the description.,positive,
Terrible customer service.,positive,
Arrived late but product is good.,positive,
"Absolutely love it, works perfectly.",positive,
Doesn't match the description.,positive,
Terrible customer service.,positive,
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",positive,
Arrived late but product is good.,positive,
"Five stars, will buy again.",positive,
Doesn't match the description.,positive,
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",positive,
Amazing features and easy to use.,positive,
"Five stars, will buy again.",positive,
Quality could be better.,positive,
Doesn't match the description.,positive,
Doesn't match the description.,positive,
Arrived late but product is good.,positive,
Arrived late but product is good.,positive,
Quality could be better.,positive,
Terrible customer service.,positive,
Doesn't match the description.,positive,
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",positive,
Doesn't match the description.,positive,
Battery life is too short.,negative,battery: negative
Terrible customer service.,positive,
Quality could be better.,positive,
Quality could be better.,positive,
Not worth the price.,negative,price: negative
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
Arrived late but product is good.,positive,
Doesn't match the description.,positive,
Battery life is too short.,negative,battery: negative
Not worth the price.,negative,price: negative
Quality could be better.,positive,
"Absolutely love it, works perfectly.",positive,
"Excellent product, highly recommend!",positive,
"Excellent product, highly recommend!",positive,
Quality could be better.,positive,
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
Amazing features and easy to use.,positive,
Terrible customer service.,positive,
"Five stars, will buy again.",positive,
"Excellent product, highly recommend!",positive,
Amazing features and easy to use.,positive,
Not worth the price.,negative,price: negative
"Five stars, will buy again.",positive,
Terrible customer service.,positive,
Quality could be better.,positive,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",positive,
Not worth the price.,negative,price: negative
Amazing features and easy to use.,positive,
"Five stars, will buy again.",positive,
Battery life is too short.,negative,battery: negative
Quality could be better.,positive,
Doesn't match the description.,positive,
Arrived late but product is good.,positive,
Battery life is too short.,negative,battery: negative
"Absolutely love it, works perfectly.",positive,
Quality could be better.,positive,
"Five stars, will buy again.",positive,
Amazing features and easy to use.,positive,
Terrible customer service.,positive,
"Five stars, will buy again.",positive,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",positive,
"Excellent product, highly recommend!",positive,
Terrible customer service.,positive,
Amazing features and easy to use.,positive,
Arrived late but product is good.,positive,
Arrived late but product is good.,positive,
Quality could be better.,positive,
Not worth the price.,negative,price: negative
Doesn't match the description.,positive,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",positive,
Quality could be better.,positive,
"Five stars, will buy again.",positive,
Battery life is too short.,negative,battery: negative
"Absolutely love it, works perfectly.",positive,
Doesn't match the description.,positive,
Arrived late but product is good.,positive,
Quality could be better.,positive,
Terrible customer service.,positive,
Battery life is too short.,negative,battery: negative
Amazing features and easy to use.,positive,
Doesn't match the description.,positive,
Terrible customer service.,positive,
Not worth the price.,negative,price: negative
Quality could be better.,positive,
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
Quality could be better.,positive,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",positive,
Battery life is too short.,negative,battery: negative
Amazing features and easy to use.,positive,
Terrible customer service.,positive,
Amazing features and easy to use.,positive,
Quality could be better.,positive,
Arrived late but product is good.,positive,
Quality could be better.,positive,
Doesn't match the description.,positive,
Amazing features and easy to use.,positive,
"Absolutely love it, works perfectly.",positive,
"Five stars, will buy again.",positive,
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",positive,
"Excellent product, highly recommend!",positive,
"Absolutely love it, works perfectly.",positive,
Not worth the price.,negative,price: negative
Quality could be better.,positive,
Arrived late but product is good.,positive,
Arrived late but product is good.,positive,
Amazing features and easy to use.,positive,
Doesn't match the description.,positive,
"Absolutely love it, works perfectly.",positive,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
Arrived late but product is good.,positive,
Battery life is too short.,negative,battery: negative
Quality could be better.,positive,
Battery life is too short.,negative,battery: negative
Not worth the price.,negative,price: negative
Doesn't match the description.,positive,
Amazing features and easy to use.,positive,
"Five stars, will buy again.",positive,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
"Absolutely love it, works perfectly.",positive,
"Excellent product, highly recommend!",positive,
Arrived late but product is good.,positive,
Quality could be better.,positive,
Not worth the price.,negative,price: negative
"Excellent product, highly recommend!",positive,
Doesn't match the description.,positive,
Doesn't match the description.,positive,
"Excellent product, highly recommend!",positive,
Arrived late but product is good.,positive,
Amazing features and easy to use.,positive,
Quality could be better.,positive,
Terrible customer service.,positive,
"Absolutely love it, works perfectly.",positive,
Battery life is too short.,negative,battery: negative
Terrible customer service.,positive,
Amazing features and easy to use.,positive,
"Five stars, will buy again.",positive,
Terrible customer service.,positive,
"Absolutely love it, works perfectly.",positive,
Terrible customer service.,positive,
Doesn't match the description.,positive,
Doesn't match the description.,positive,
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",positive,
Terrible customer service.,positive,
Terrible customer service.,positive,
Doesn't match the description.,positive,
Quality could be better.,positive,
"Absolutely love it, works perfectly.",positive,
"Absolutely love it, works perfectly.",positive,
Terrible customer service.,positive,
Quality could be better.,positive,
Battery life is too short.,negative,battery: negative
Doesn't match the description.,positive,
Doesn't match the description.,positive,
Arrived late but product is good.,positive,
Doesn't match the description.,positive,
Amazing features and easy to use.,positive,
"Absolutely love it, works perfectly.",positive,
Terrible customer service.,positive,
Terrible customer service.,positive,
Terrible customer service.,positive,
"Excellent product, highly recommend!",positive,
Terrible customer service.,positive,
Amazing features and easy to use.,positive,
"Excellent product, highly recommend!",positive,
Quality could be better.,positive,
Terrible customer service.,positive,
"Excellent product, highly recommend!",positive,
Battery life is too short.,negative,battery: negative
Battery life is too short.,negative,battery: negative
Not worth the price.,negative,price: negative
Not worth the price.,negative,price: negative
Terrible customer service.,positive,
Terrible customer service.,positive,
Terrible customer service.,positive,
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",positive,
Quality could be better.,positive,
"Excellent product, highly recommend!",positive,
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",positive,
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",positive,
"Five stars, will buy again.",positive,
Not worth the price.,negative,price: negative
"Excellent product, highly recommend!",positive,
Arrived late but product is good.,positive,
Battery life is too short.,negative,battery: negative
Battery life is too short.,negative,battery: negative
"Absolutely love it, works perfectly.",positive,
Quality could be better.,positive,
Doesn't match the description.,positive,
"Absolutely love it, works perfectly.",positive,
Amazing features and easy to use.,positive,
Doesn't match the description.,positive,
"Excellent product, highly recommend!",positive,
"Five stars, will buy again.",positive,
"Absolutely love it, works perfectly.",positive,
Quality could be better.,positive,
Not worth the price.,negative,price: negative
"Five stars, will buy again.",positive,
Battery life is too short.,negative,battery: negative
Doesn't match the description.,positive,
"Absolutely love it, works perfectly.",positive,
"Absolutely love it, works perfectly.",positive,
"Absolutely love it, works perfectly.",positive,
Quality could be better.,positive,
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",positive,
"Absolutely love it, works perfectly.",positive,
"Absolutely love it, works perfectly.",positive,
Arrived late but product is good.,positive,
Quality could be better.,positive,
"Absolutely love it, works perfectly.",positive,
"Excellent product, highly recommend!",positive,
"Five stars, will buy again.",positive,
"Absolutely love it, works perfectly.",positive,
"Five stars, will buy again.",positive,
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
Amazing features and easy to use.,positive,
Doesn't match the description.,positive,
Quality could be better.,positive,
Quality could be better.,positive,
Amazing features and easy to use.,positive,
Terrible customer service.,positive,
"Excellent product, highly recommend!",positive,
Arrived late but product is good.,positive,
Amazing features and easy to use.,positive,
"Absolutely love it, works perfectly.",positive,
"Excellent product, highly recommend!",positive,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
Amazing features and easy to use.,positive,
Doesn't match the description.,positive,
Terrible customer service.,positive,
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",positive,
"Five stars, will buy again.",positive,
Quality could be better.,positive,
"Five stars, will buy again.",positive,
Arrived late but product is good.,positive,
"Five stars, will buy again.",positive,
Battery life is too short.,negative,battery: negative
Arrived late but product is good.,positive,
"Absolutely love it, works perfectly.",positive,
Battery life is too short.,negative,battery: negative
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",positive,
Doesn't match the description.,positive,
Battery life is too short.,negative,battery: negative
Battery life is too short.,negative,battery: negative
"Absolutely love it, works perfectly.",positive,
"Absolutely love it, works perfectly.",positive,
Quality could be better.,positive,
"Absolutely love it, works perfectly.",positive,
Doesn't match the description.,positive,
Doesn't match the description.,positive,
Terrible customer service.,positive,
Arrived late but product is good.,positive,
Battery life is too short.,negative,battery: negative
Battery life is too short.,negative,battery: negative
Amazing features and easy to use.,positive,
Quality could be better.,positive,
Doesn't match the description.,positive,
"Five stars, will buy again.",positive,
Battery life is too short.,negative,battery: negative
Not worth the price.,negative,price: negative
Amazing features and easy to use.,positive,
Amazing features and easy to use.,positive,
Not worth the price.,negative,price: negative
Battery life is too short.,negative,battery: negative
Terrible customer service.,positive,
Battery life is too short.,negative,battery: negative
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",positive,
Quality could be better.,positive,
"Excellent product, highly recommend!",positive,
Not worth the price.,negative,price: negative
"Excellent product, highly recommend!",positive,
"Five stars, will buy again.",positive,
Not worth the price.,negative,price: negative
Arrived late but product is good.,positive,
"Excellent product, highly recommend!",positive,
"Five stars, will buy again.",positive,
Terrible customer service.,positive,
Amazing features and easy to use.,positive,
"Absolutely love it, works perfectly.",positive,
"Excellent product, highly recommend!",positive,
"Five stars, will buy again.",positive,
Doesn't match the description.,positive,
"Five stars, will buy again.",positive,
Terrible customer service.,positive,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",positive,
"Absolutely love it, works perfectly.",positive,
"Excellent product, highly recommend!",positive,
Doesn't match the description.,positive,
Arrived late but product is good.,positive,
Doesn't match the description.,positive,
Not worth the price.,negative,price: negative
"Absolutely love it, works perfectly.",positive,
"Five stars, will buy again.",positive,
Battery life is too short.,negative,battery: negative
Arrived late but product is good.,positive,
Doesn't match the description.,positive,
Terrible customer service.,positive,
"Five stars, will buy again.",positive,
"Absolutely love it, works perfectly.",positive,
"Excellent product, highly recommend!",positive,
"Absolutely love it, works perfectly.",positive,
"Absolutely love it, works perfectly.",positive,
Quality could be better.,positive,
Arrived late but product is good.,positive,
Doesn't match the description.,positive,
Battery life is too short.,negative,battery: negative
Battery life is too short.,negative,battery: negative
"Excellent product, highly recommend!",positive,
Battery life is too short.,negative,battery: negative
Doesn't match the description.,positive,
Amazing features and easy to use.,positive,
"Excellent product, highly recommend!",positive,
Amazing features and easy to use.,positive,
Battery life is too short.,negative,battery: negative
"Five stars, will buy again.",positive,
Arrived late but product is good.,positive,
Doesn't match the description.,positive,
Not worth the price.,negative,price: negative
Amazing features and easy to use.,positive,
Doesn't match the description.,positive,
Battery life is too short.,negative,battery: negative
"Absolutely love it, works perfectly.",positive,
"Five stars, will buy again.",positive,
Amazing features and easy to use.,positive,
Not worth the price.,negative,price: negative
Terrible customer service.,positive,
Amazing features and easy to use.,positive,
"Absolutely love it, works perfectly.",positive,
Terrible customer service.,positive,
"Absolutely love it, works perfectly.",positive,
Doesn't match the description.,positive,
Not worth the price.,negative,price: negative
Terrible customer service.,positive,
Not worth the price.,negative,price: negative
Amazing features and easy to use.,positive,
Not worth the price.,negative,price: negative
Doesn't match the description.,positive,
Amazing features and easy to use.,positive,
"Five stars, will buy again.",positive,
Terrible customer service.,positive,
Doesn't match the description.,positive,
"Absolutely love it, works perfectly.",positive,
"Absolutely love it, works perfectly.",positive,
Amazing features and easy to use.,positive,
"Five stars, will buy again.",positive,
"Excellent product, highly recommend!",positive,
Doesn't match the description.,positive,
